cbsa,wages_p1,wages_p10,wages_p20,wages_p30,wages_p40,wages_p50,wages_p60,wages_p70,wages_p80,wages_p90,elasticity,fhfa_hpi,zhvi_infadj,labor
18140,11.30303,21.32462,27.26649,35.75268,42.12297,49.02386,53.06306,58.05341,69.51412,88.09059,2.713189,2.180857,1.076738,1.132628
39300,17.48124,23.22958,30.40592,34.84211,43.52201,46.38972,51.54167,59.499,66.5491,82.49251,1.605547,3.419524,1.722712,.8437503
47260,13.81055,22.09218,27.07126,29.44681,36.3012,40.76726,49.52908,55.64834,61.9567,74.33334,.8157288,2.736381,1.376628,.7348614
26900,15.92135,20.74035,29.01055,35.85463,43.24074,46.99284,53.90448,58.97789,67.70669,82.57107,4.003827,1.936952,.9334483,1.182597
33340,15.21539,21.75292,29.35365,35.58679,45.16601,51.30818,55.75104,62.50229,70.33978,91.07519,1.028642,2.265667,1.14937,1.05405
29820,19.55026,23.6204,31.04739,34.89286,40.09743,45.94294,50.09034,55.27556,63.03213,70.45515,1.385496,2.501381,1.44014,1.13286
16740,15.99331,20.81204,26.59904,36.4339,40.41296,47.76576,52.02222,61.64702,68.88879,97.7693,3.092033,2.372095,1.218982,1.291668
35380,13.14804,22.25535,29.85903,33.99967,41.04835,48.45713,54.13561,58.4146,64.52692,78.68593,.8083274,2.290476,1.177611,.6399351
12420,17.96868,24.60114,29.13246,34.9076,41.49697,48.60887,53.05883,58.33724,82.21102,105.2549,3.002909,3.768381,1.860981,1.093323
15380,14.76473,19.96263,26.05556,30.39586,41.30323,44.73711,51.62412,57.9862,63.93903,73.84017,1.82699,2.29181,.9122636,.6525333
31140,15.53771,21.61698,25.4409,29.70512,38.54907,45.49498,51.12141,56.8969,63.77211,79.92056,2.340009,2.307714,.959583,.7176749
25540,17.08785,23.62465,32.09836,35.1795,44.97731,48.86696,59.34078,69.88332,75.15511,101.2987,1.496084,2.47419,1.391769,.7438696
27260,16.25709,21.82963,28.06452,34.03807,39.27066,44.02196,50.61119,62.4521,66.94332,86.18713,1.059162,2.328,1.195376,.7523956
40060,15.88316,20.46939,26.29565,30.95486,35.99188,45.95373,48.32913,61.90513,66.27655,83.0564,2.599609,2.241905,1.344736,.6643807
36420,11.3508,20.48241,25.27667,33.92308,40.0887,46.15409,51.47633,54.80302,59.8142,77.65965,3.294045,2.134905,.8778191,.6629201
13820,15.86451,21.64986,26.92062,33.09324,43.4256,48.36736,54.00937,59.76389,66.36735,77.52804,2.144764,1.870524,.8330545,.571786
40380,15.83414,20.47583,26.7381,30.2888,38.9423,43.55435,50.025,53.45927,62.26105,74.64554,1.403616,1.874571,.8761203,.5999616
41620,15.70688,22.12693,26.47396,36.28579,41.4327,46.87589,54.67355,64.46615,69.83627,99.32259,.7453108,3.695048,1.937224,.8059613
46140,14.66522,21.15668,25.67279,32.36182,39.58254,45.23766,50.62357,59.45563,66,79.46847,3.353519,1.859048,.8369284,.5154631
46060,15.36992,21.7322,25.71379,29.27239,34.10131,38.0835,46.07737,52.0339,56.19465,63.61165,1.419134,2.530905,1.155945,.4086697
10580,15.92708,22.04605,26.54477,32.83895,41.00341,45.1815,51.08035,58.25486,66.51875,78.85395,1.700388,2.331714,1.14898,.4549649
35300,15.18711,23.97841,28.98131,36.01096,42.47168,48.66747,56.3741,65.53895,74.77674,98.1461,.9750816,2.470286,1.302707,.463522
23420,15.44153,22.29057,26.05653,29.1002,36.38905,44.70318,47.0882,55.08475,61.92516,67.18199,1.836077,3.120619,1.399258,.3395252
39580,15.17721,22.63049,25.60118,32.96866,40.43333,43.67857,51.21526,59.45951,68.48077,92.24574,2.109414,2.545286,1.538909,.6767173
36540,16.13386,21.58196,26.22163,32.86835,39.12395,45.07253,47.73014,56.5229,67.99312,79.6477,3.470304,2.18281,1.046299,.5417172
37100,17.78508,24.92196,29.36826,33.49948,42.84541,50.01152,53.8927,65.8206,73.76604,80.59367,.7495063,6.161666,3.50687,.3429328
49340,15.58521,22.84246,27.45229,35.38685,43,47.16077,53.26112,59.61762,68.45241,81.142,.8581065,3.379286,1.603672,.4508446
24340,5.74,20.26625,24.49009,31.88888,40.9006,47.26045,49.96513,53.91055,59.80813,66.35667,2.38978,1.976286,1.113738,.6629187
10900,14.80901,21.53036,25.51502,31.85,39.30078,47.22454,56.20057,60.00953,66.26869,80.00838,1.86229,1.971952,1.166549,.4393578
10740,15.90497,22.28126,26.04622,31.11361,34.14502,39.31726,46.01402,50.4332,57.53489,71.16242,2.11238,2.379524,1.134368,.3904609
12940,14.52103,20.28605,26.08547,34.79128,41.35347,48.91732,53.13316,59.51738,65.69841,77.75581,1.73788,2.172238,1.092994,.3853298
10420,14.37198,19.55227,25.67435,32.21147,40.47293,44.82036,49.79159,53.62973,58.25245,64.72552,2.585493,1.708143,.816653,.3948894
44140,15.44436,21.91671,27.89734,32.91042,41.43067,48.80263,51.96281,56.64157,60.39249,68.75758,1.523298,3.465429,1.306291,.2974435
21340,11.28238,17.81059,21.63665,25.717,28.13833,32.13028,37.43658,41.83052,46.38948,51.81818,2.347789,1.854333,.762647,.3178226
12540,12.00946,21.08752,24.90007,28.67393,35.76386,43.39711,51.02086,58.61211,64.07361,80.31506,1.638014,2.636429,1.258005,.2448675
45780,13.56759,17.5339,21.6061,27.63081,40.62355,44.97272,49.78571,55.87825,62.66464,70.27289,2.209142,1.285048,.6614509,.3428451
45060,14.64649,21.11522,23.63762,30.28302,38.0005,44.17318,50.21921,57.87222,62.91309,74.79218,2.208779,1.895476,.7897337,.335798
17900,14.25632,18.07664,22.34261,27.40678,35.4207,42.03669,48.04409,56.1125,63.94828,67.60301,2.640273,1.793524,.8863646,.3625908
24660,13.48042,20.05415,25.4275,29.21863,34.76167,40.51038,47.55259,55.76313,64.64346,77.55255,3.09587,1.824238,.8171418,.4276476
28940,11.87879,19.99394,26.39411,29.43704,39.02586,44.0616,50.84456,57.22818,70.25574,91.95538,1.420068,2.129667,.9866728,.424107
30780,15.58068,20.78267,24.64602,28.37823,35.69749,44.84393,53.49542,55.61195,59.58957,69.22038,2.792315,1.997762,.8549962,.3665851
49660,11.80652,16.42169,19.45329,26.06025,29.40692,35.92427,43.08045,47.83901,53.46903,66.2028,2.629156,1.519048,.5270337,.2602088
35840,17.23619,21.71886,26.84084,32.41731,37.03926,39.82875,48.03996,53.52934,61.44206,75.64513,.9216967,2.902524,1.566578,.3128922
48620,13.26306,18.53046,21.97958,28.32258,37.69769,44.8275,50.03061,54.0625,60.92342,73.28758,5.453317,1.63019,.786758,.3380363
44700,14.49819,22.07864,26.77036,34.36859,38.96294,46.39602,52.90758,56.95021,63.11105,73.32738,2.072873,3.696,2.044341,.2512331
42540,13.95833,18.2798,21.01186,29.75412,34.59552,40.24594,45.12578,49.89442,53.81905,58.14244,1.616592,1.687143,.6452361,.3137222
24860,14.97158,18.91314,22.70759,30.73508,41.47495,43.46025,48.46397,55.92252,62.48837,70.29763,2.714148,2.149333,1.037882,.4447916
16700,17.10669,20.57447,27.21002,31.47266,36.51852,44.70348,49.45454,52.86666,61.97743,72.97108,1.196443,3.244762,1.498899,.3688361
17820,12.5,20.81736,28.59165,33.7266,37.38073,42.06763,46.04155,49.11765,60.6041,79.00926,1.668164,3.238619,1.642238,.3277018
25420,14.07119,22.26989,27.08338,33.03334,38.77344,43.21111,46.59955,53.17582,56.74018,66.99488,1.629293,2.125571,1.066898,.3579304
31540,15.50312,20.47661,26.27353,32.37833,39.10669,47.25943,53.4453,61.32439,71.65795,82.44697,2.247156,2.895571,1.525885,.4317975
12260,12.18605,18.803,22.73034,30.21961,33.88386,42.70275,47.78516,51.713,57.72387,73.74567,3.568282,1.526714,.8154352,.216108
27140,11.04286,18.57902,25.56877,31.2214,36.9824,41.3039,48.54123,54.56432,59.1314,68.4934,3.001649,1.513667,.8022125,.2822549
38860,17.84698,24.35004,30.94986,34.76703,39.6012,42.54671,49.76523,53.19205,65.32592,75.53874,1.423541,3.265238,1.665126,.3029564
29460,13.52632,18.80033,22.52115,27.09875,34.41788,39.03815,45.43974,49.03017,53.64199,58.65736,1.563471,2.190428,.986012,.2421104
19780,16.08645,20.88808,25.73537,33.31276,37.22586,44.14727,49.13634,56.60185,63.55741,75.0647,3.662033,2.156952,1.121038,.4171844
16860,13.35446,19.79555,24.60188,29.10851,36.42663,43.17186,47.45221,54.37379,60.22779,66.69617,2.113013,2.175714,.9264332,.2869209
37340,11.25362,20.51921,22.23718,28.89148,32.04214,38.06826,43.27691,52.50681,63.06882,88.85676,1.037471,2.266381,1.247276,.2435243
29540,15.27568,18.71412,23.15385,28.94715,37.70338,44.5203,51.12887,55.59753,61.17049,68.71263,2.2425,2.408762,1.281653,.3032647
14260,15.23093,19.773,24.96923,30.16667,36.7021,39.53117,42.60752,48.46218,52.46974,71.8984,1.6928,2.895714,1.416948,.3158799
42220,18.05515,25.1594,31.82834,39.09985,44.21905,49.78049,54.5233,61.67074,70.59441,91.11311,1.00173,6.538428,3.614769,.2242466
29620,14.3324,18.84342,24.87879,30.76189,38.40374,39.82027,42.56209,51.35843,60.60302,67.48913,2.575921,1.770905,.8612252,.2076314
19660,11.37634,19.78146,23.12517,28.63636,31.96897,36.40491,42.17395,45.24234,49.08601,58.95454,1.068871,2.280143,1.141308,.2077064
15980,13.5,20.62525,25.21446,29.23846,34.47059,38.22957,43.69417,48.91671,53.62678,68.43611,1.281236,2.217,1.394088,.2580257
22420,10.0221,19.18058,21.69801,25.85062,31.91959,34.95062,44.273,48.90461,54.33221,60.87238,2.750336,1.667095,.6363135,.155754
20500,15.84381,20.98605,28.11174,32,38.30919,42.85624,44.89808,55.90821,76.96819,96.96012,2.109414,2.550095,1.401662,.3074047
49180,10.37688,18.43469,21.56528,29.91343,39.17193,43.6633,49.52542,54.71005,63.71154,96.02069,3.09587,1.678762,.8389018,.2815282
44060,15.34133,23.95539,26.35455,30.97121,39.40386,44.20301,47.83163,54.93856,59.71479,66.33223,1.644108,2.946572,1.303145,.2613385
37860,14.83026,19.16542,23.07599,28.91837,33.43904,36.70772,42.96892,49.55556,55.38125,60.10811,1.476629,1.722143,.9882485,.1713681
30460,15.7183,20.68408,24.285,31.02464,35.08451,43.19613,45.68318,51.88851,58.61406,65.65412,2.625581,2.092191,1.031218,.2718102
15940,13.13605,18.0039,21.5544,27.78644,38.83019,41.1844,45.47231,50.93912,54.85801,68.24654,3.03073,1.705714,.7234687,.2000442
41500,16.24535,26.81948,32.51282,36.4,42.46964,49.34771,54.29055,61.88889,70.00858,84.44764,1.100336,5.563715,3.282651,.1488158
33660,11.67588,18.24587,21.35083,28.60397,36.23071,44.20307,51.70924,60.38428,67.92924,91.94664,2.038012,1.796857,.6967975,.1960711
46700,15.04301,20.3237,25.15223,30.20403,39.56842,45.11103,50.88876,56.67907,65.39706,75.4289,1.144091,5.498905,2.441565,.1436054
