cbsa,wages_p1,wages_p10,wages_p20,wages_p30,wages_p40,wages_p50,wages_p60,wages_p70,wages_p80,wages_p90,elasticity,fhfa_hpi,zhvi_infadj,labor
35620,20.32348,25.04601,36.82806,45.0106,49.50519,58.00148,62.894,79.87152,95.00931,130.6133,.75883,4.065619,2.713706,11.23067
16980,19.00948,23.03279,34.86277,41.57307,47.66746,56.65845,62.01923,69.37901,82.60526,112.5406,.8113738,2.319714,1.364339,5.610811
37980,16.28835,22.48975,31.30228,40.87864,47.38288,54.91773,60.3413,68.57046,90.8009,100.3763,1.645051,2.641524,1.376542,3.51492
19100,17.66697,24.03859,29.67352,36.68826,41.23141,50.45454,58.2713,64.7808,90.25163,107.8685,2.797682,2.485095,1.357579,4.154225
33100,19.20955,23.34752,32.37331,36.12085,39.84195,45.8823,50.78061,59.95714,72.2271,89.73985,.6535772,2.832857,1.648168,2.960314
47900,18.81034,27.18691,33.45899,42.48252,48.19308,53.16667,63.02085,72.17348,99.45435,116.7082,1.605827,3.603095,2.448671,3.483886
19820,16.0018,22.35682,30.68386,33.70572,44.40638,49.88862,53.8149,66.86496,77.17873,96.09136,1.241145,2.16181,.9349491,2.380328
12060,16.89252,23.66006,32.77961,41.31091,46.40056,50.1056,56.8624,61.85962,82.92626,109.211,2.553699,2.005952,1.223841,3.019227
41860,22.38697,30.27984,39.45208,46.09794,54.25427,61.66587,77.43857,97.23332,118.3266,149.7761,.6615863,6.327,5.859455,2.812967
40140,17.1282,21.7179,27.80564,31.53172,38.20024,44.99523,51.82184,54.27059,60.40213,69.2033,.9431942,4.168666,2.070482,1.539598
38060,17.74796,23.34822,30.98092,36.55063,41.84153,48.54682,56.13802,62.14293,75.29166,86.2,1.613557,2.910285,1.490633,2.279623
42660,22.66309,30.06653,35.61905,42.30896,51.41891,54.96048,64.67998,70.89841,89.7592,112.208,.8818612,5.688952,2.799719,2.275239
33460,18.21323,23.15818,30.3034,37.99635,44.77056,53.76887,59.9445,68.19576,79.51331,95.43617,1.447376,2.773905,1.567708,2.386369
41740,19.20675,26.78474,31.41261,37.14286,41.59352,47.48129,57.50711,67.32443,84.62968,93.47762,.6727623,5.501857,3.334516,1.682505
41180,15.63652,22.89441,28.512,36.82189,47.55524,52.48551,58.97699,66.27607,73.06807,91.95747,2.355826,2.056571,.9910129,1.613544
12580,17.02076,25.48037,30.72543,37.25689,46.34228,50.03226,56.09873,70.14797,77.17931,91.2649,1.234946,3.003286,1.688651,1.521897
38300,15.41493,22.01236,28.38372,37.34428,44.44436,50.24967,55.84375,63.05307,72.98271,85.51854,1.204991,2.191476,.8548949,1.451589
45300,15.64342,21.2136,26.37999,33.62746,40.10691,46.1622,49.39365,56.57196,72.92329,83.02538,.9978694,2.758095,1.196954,1.485605
19740,8.9,24.57566,31.59105,37.65221,45.06456,51.71743,58.06623,66.73325,88.16212,109.8871,1.529061,4.370476,2.365985,1.653217
17460,15.88948,21.35,26.97373,32.26095,41.35982,47.0157,53.52269,61.87445,69.55885,79.99777,1.024924,1.673381,.8471681,1.234617
17140,12.33333,20.4252,25.11518,33.78655,43.10943,51.53335,55.10353,60.60939,70.68711,77.61975,2.460951,1.888572,.9790733,1.22899
38900,19.95081,24.7909,29.34293,36.19255,44.4781,50.52969,57.44896,63.84424,72.02251,94.41089,1.066958,4.569809,2.3383,1.372243
28140,16.24827,20.96337,26.8099,34.37679,39.24387,46.58518,51.85813,57.51003,68.96562,88.59332,3.190805,1.965905,1.074303,1.215291
41940,19.92593,30.03087,35.63565,43.89917,49.14133,59.89108,73.4,85.18546,119.0995,150.8658,.7603266,8.623476,6.473732,1.432506
41700,15.35845,21.34712,25.12252,30.70192,39.44401,44.76899,52.26012,58.39875,64.2464,84.98848,2.982038,2.328619,1.1099,1.125185
36740,16.20754,22.90169,29.81032,35.69505,41.08184,46.03567,51.64706,55.68153,63.17191,88.07183,1.120164,2.582572,1.337321,1.417752
